epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
24,48.7133,0.21242,0.90741,1,0.32164,0.00106025,0.00106025,0.00106025
25,50.8892,0.14198,0.85185,1,0.45975,0.001052,0.001052,0.001052
26,52.9628,0.12667,0.87037,1,0.35962,0.00104375,0.00104375,0.00104375
27,55.0488,0.10803,0.88889,1,0.20355,0.0010355,0.0010355,0.0010355
28,57.1323,0.20628,0.90741,1,0.19289,0.00102725,0.00102725,0.00102725
29,59.2206,0.22277,0.90741,1,0.18564,0.001019,0.001019,0.001019
30,61.2103,0.253,0.90741,1,0.14708,0.00101075,0.00101075,0.00101075
31,63.2502,0.16421,0.88889,1,0.25202,0.0010025,0.0010025,0.0010025
32,65.3866,0.24361,0.88889,1,0.25513,0.00099425,0.00099425,0.00099425
33,67.4171,0.1428,0.88889,1,0.37979,0.000986,0.000986,0.000986
34,69.4908,0.14286,0.87037,1,0.37606,0.00097775,0.00097775,0.00097775
35,71.4921,0.12563,0.81481,1,0.36849,0.0009695,0.0009695,0.0009695
36,73.503,0.14193,0.85185,1,0.30202,0.00096125,0.00096125,0.00096125
37,75.4751,0.18272,0.87037,1,0.31251,0.000953,0.000953,0.000953
38,77.6361,0.14619,0.83333,1,0.42032,0.00094475,0.00094475,0.00094475
39,79.6306,0.07202,0.85185,1,0.53608,0.0009365,0.0009365,0.0009365
40,81.6587,0.11765,0.85185,1,0.57559,0.00092825,0.00092825,0.00092825
41,83.6769,0.05861,0.85185,1,0.50154,0.00092,0.00092,0.00092
42,85.6348,0.08486,0.81481,1,0.45855,0.00091175,0.00091175,0.00091175
43,87.6558,0.0695,0.85185,1,0.38403,0.0009035,0.0009035,0.0009035
44,89.6732,0.08381,0.85185,1,0.3639,0.00089525,0.00089525,0.00089525
45,91.7379,0.08361,0.88889,1,0.35211,0.000887,0.000887,0.000887
46,93.752,0.11632,0.88889,1,0.34884,0.00087875,0.00087875,0.00087875
47,95.7335,0.06421,0.88889,1,0.36514,0.0008705,0.0008705,0.0008705
48,97.7703,0.05584,0.88889,1,0.32338,0.00086225,0.00086225,0.00086225
49,99.8303,0.07297,0.87037,1,0.29233,0.000854,0.000854,0.000854
50,101.79,0.06111,0.87037,1,0.34749,0.00084575,0.00084575,0.00084575
51,104.056,0.08058,0.85185,1,0.30601,0.0008375,0.0008375,0.0008375
52,106.359,0.08269,0.83333,1,0.35705,0.00082925,0.00082925,0.00082925
53,108.791,0.07924,0.85185,1,0.36949,0.000821,0.000821,0.000821
54,110.898,0.10922,0.85185,1,0.40414,0.00081275,0.00081275,0.00081275
55,113.042,0.09413,0.83333,1,0.44552,0.0008045,0.0008045,0.0008045
56,115.34,0.05869,0.87037,1,0.45107,0.00079625,0.00079625,0.00079625
57,117.452,0.04662,0.85185,1,0.33141,0.000788,0.000788,0.000788
58,119.68,0.03631,0.87037,1,0.37592,0.00077975,0.00077975,0.00077975
59,121.792,0.13926,0.88889,1,0.41825,0.0007715,0.0007715,0.0007715
60,123.865,0.12737,0.90741,1,0.29973,0.00076325,0.00076325,0.00076325
61,125.917,0.07819,0.90741,1,0.34147,0.000755,0.000755,0.000755
62,128.006,0.04108,0.90741,1,0.27395,0.00074675,0.00074675,0.00074675
63,130.059,0.04362,0.92593,1,0.26915,0.0007385,0.0007385,0.0007385
64,132.074,0.05625,0.94444,1,0.22324,0.00073025,0.00073025,0.00073025
65,134.085,0.05313,0.90741,1,0.38002,0.000722,0.000722,0.000722
66,136.112,0.16357,0.88889,1,0.34967,0.00071375,0.00071375,0.00071375
67,138.114,0.08479,0.87037,1,0.32906,0.0007055,0.0007055,0.0007055
68,140.146,0.06266,0.87037,1,0.35208,0.00069725,0.00069725,0.00069725
69,142.089,0.06919,0.87037,1,0.39054,0.000689,0.000689,0.000689
70,144.199,0.03338,0.87037,1,0.28769,0.00068075,0.00068075,0.00068075
71,146.264,0.05006,0.88889,1,0.29723,0.0006725,0.0006725,0.0006725
72,148.266,0.15448,0.88889,1,0.27788,0.00066425,0.00066425,0.00066425
73,150.308,0.05501,0.88889,1,0.32642,0.000656,0.000656,0.000656
74,152.319,0.03706,0.88889,1,0.3353,0.00064775,0.00064775,0.00064775
75,154.442,0.03741,0.88889,1,0.30916,0.0006395,0.0006395,0.0006395
76,156.734,0.04816,0.85185,1,0.38755,0.00063125,0.00063125,0.00063125
77,158.719,0.05963,0.87037,1,0.33826,0.000623,0.000623,0.000623
78,160.847,0.05829,0.87037,1,0.4382,0.00061475,0.00061475,0.00061475
79,162.87,0.0559,0.87037,1,0.36661,0.0006065,0.0006065,0.0006065
80,164.975,0.10054,0.88889,1,0.33768,0.00059825,0.00059825,0.00059825
81,167.035,0.05355,0.88889,1,0.36388,0.00059,0.00059,0.00059
82,169.178,0.02865,0.90741,1,0.41049,0.00058175,0.00058175,0.00058175
83,171.318,0.11276,0.92593,1,0.4156,0.0005735,0.0005735,0.0005735
84,173.399,0.07837,0.92593,1,0.35024,0.00056525,0.00056525,0.00056525
85,175.516,0.07835,0.88889,1,0.36372,0.000557,0.000557,0.000557
86,177.629,0.05963,0.88889,1,0.38283,0.00054875,0.00054875,0.00054875
87,179.793,0.02728,0.88889,1,0.33962,0.0005405,0.0005405,0.0005405
88,181.98,0.05227,0.87037,1,0.32581,0.00053225,0.00053225,0.00053225
89,184.087,0.022,0.88889,1,0.40438,0.000524,0.000524,0.000524
90,186.38,0.16794,0.88889,1,0.3578,0.00051575,0.00051575,0.00051575
91,188.51,0.05994,0.88889,1,0.26873,0.0005075,0.0005075,0.0005075
92,190.692,0.08852,0.92593,1,0.30647,0.00049925,0.00049925,0.00049925
93,192.881,0.14941,0.92593,1,0.29564,0.000491,0.000491,0.000491
94,195.164,0.13605,0.92593,1,0.27492,0.00048275,0.00048275,0.00048275
95,197.171,0.06511,0.88889,1,0.29828,0.0004745,0.0004745,0.0004745
96,199.155,0.01564,0.87037,1,0.32728,0.00046625,0.00046625,0.00046625
97,201.257,0.06764,0.88889,1,0.27374,0.000458,0.000458,0.000458
98,203.398,0.09144,0.88889,1,0.19171,0.00044975,0.00044975,0.00044975
99,205.504,0.11395,0.90741,1,0.24114,0.0004415,0.0004415,0.0004415
100,207.678,0.04507,0.90741,1,0.32869,0.00043325,0.00043325,0.00043325
101,209.756,0.07084,0.90741,1,0.25462,0.000425,0.000425,0.000425
102,211.809,0.03189,0.90741,1,0.25314,0.00041675,0.00041675,0.00041675
103,213.915,0.04949,0.92593,1,0.25334,0.0004085,0.0004085,0.0004085
104,216.106,0.05383,0.92593,1,0.27655,0.00040025,0.00040025,0.00040025
105,218.085,0.08718,0.92593,1,0.26324,0.000392,0.000392,0.000392
106,220.113,0.01775,0.90741,1,0.26415,0.00038375,0.00038375,0.00038375
107,222.215,0.11867,0.92593,1,0.29107,0.0003755,0.0003755,0.0003755
108,224.309,0.04142,0.90741,1,0.23664,0.00036725,0.00036725,0.00036725
109,226.487,0.03145,0.90741,1,0.26137,0.000359,0.000359,0.000359
110,228.543,0.04837,0.90741,1,0.25005,0.00035075,0.00035075,0.00035075
111,230.657,0.13638,0.90741,1,0.24048,0.0003425,0.0003425,0.0003425
112,232.828,0.02984,0.90741,1,0.21539,0.00033425,0.00033425,0.00033425
113,234.897,0.02956,0.92593,1,0.25946,0.000326,0.000326,0.000326
114,237.029,0.03302,0.92593,1,0.23503,0.00031775,0.00031775,0.00031775
115,239.264,0.05287,0.88889,1,0.2332,0.0003095,0.0003095,0.0003095
116,241.639,0.04858,0.88889,1,0.20328,0.00030125,0.00030125,0.00030125
117,243.719,0.05989,0.88889,1,0.22495,0.000293,0.000293,0.000293
118,245.849,0.07479,0.90741,1,0.15353,0.00028475,0.00028475,0.00028475
119,247.985,0.02107,0.90741,1,0.15708,0.0002765,0.0002765,0.0002765
120,250.121,0.0403,0.90741,1,0.2064,0.00026825,0.00026825,0.00026825
121,252.212,0.05837,0.92593,1,0.14422,0.00026,0.00026,0.00026
122,254.367,0.04614,0.92593,1,0.11402,0.00025175,0.00025175,0.00025175
123,256.514,0.00956,0.94444,1,0.11743,0.0002435,0.0002435,0.0002435
124,258.738,0.03103,0.94444,1,0.10388,0.00023525,0.00023525,0.00023525
125,260.924,0.02813,0.92593,1,0.14989,0.000227,0.000227,0.000227
126,263.135,0.02471,0.92593,1,0.17106,0.00021875,0.00021875,0.00021875
127,265.299,0.03797,0.92593,1,0.17969,0.0002105,0.0002105,0.0002105
128,267.465,0.04157,0.92593,1,0.26281,0.00020225,0.00020225,0.00020225
129,269.637,0.03612,0.92593,1,0.19923,0.000194,0.000194,0.000194
130,271.775,0.01649,0.90741,1,0.15304,0.00018575,0.00018575,0.00018575
131,273.919,0.07824,0.92593,1,0.16668,0.0001775,0.0001775,0.0001775
132,276.103,0.04575,0.90741,1,0.1416,0.00016925,0.00016925,0.00016925
133,278.23,0.02849,0.90741,1,0.15738,0.000161,0.000161,0.000161
134,280.407,0.07188,0.92593,1,0.18379,0.00015275,0.00015275,0.00015275
135,282.522,0.01258,0.92593,1,0.14897,0.0001445,0.0001445,0.0001445
136,284.655,0.06728,0.92593,1,0.18742,0.00013625,0.00013625,0.00013625
137,286.795,0.05071,0.92593,1,0.15781,0.000128,0.000128,0.000128
138,289.043,0.02127,0.90741,1,0.12939,0.00011975,0.00011975,0.00011975
139,291.081,0.02526,0.90741,1,0.15306,0.0001115,0.0001115,0.0001115
140,293.256,0.02327,0.90741,1,0.24899,0.00010325,0.00010325,0.00010325
141,295.41,0.03797,0.90741,1,0.21497,9.5e-05,9.5e-05,9.5e-05
142,297.597,0.02478,0.90741,1,0.17262,8.675e-05,8.675e-05,8.675e-05
143,299.668,0.01126,0.92593,1,0.15562,7.85e-05,7.85e-05,7.85e-05
144,301.751,0.09005,0.92593,1,0.18824,7.025e-05,7.025e-05,7.025e-05
145,303.914,0.03904,0.92593,1,0.20218,6.2e-05,6.2e-05,6.2e-05
146,306.024,0.02119,0.90741,1,0.15874,5.375e-05,5.375e-05,5.375e-05
147,308.181,0.02855,0.92593,1,0.22338,4.55e-05,4.55e-05,4.55e-05
148,310.389,0.01869,0.92593,1,0.26433,3.725e-05,3.725e-05,3.725e-05
149,312.573,0.05843,0.92593,1,0.19762,2.9e-05,2.9e-05,2.9e-05
150,314.71,0.01477,0.92593,1,0.1706,2.075e-05,2.075e-05,2.075e-05
